County,Median Zillow home estimate 
Bergen County,646194.6728
Middlesex County,487590.2309
Essex County,567351.8051
Hudson County,574117.4584
Monmouth County,656805.7088
Ocean County,482131.7738
Union County,541735.3305
Camden County,305546.2388
Passaic County,499903.3417
Morris County,604106.8583
Burlington County,364189.8582
Mercer County,388903.1308
Somerset County,576433.161
Gloucester County,334596.7707
Atlantic County,333548.7527
Cumberland County,238961.1342
Sussex County,390212.0762
Hunterdon County,551130.3854
Warren County,368958.3655
Cape May County,686592.2768
Salem County,258391.429
