Year ,Median HP,Median IN
2020,336950,67521
2019,320250,68702.36
2018,325275,63179.34
2017,322425,61371.89
2016,305125,59038.75
2015,294150,56515.94
2014,285775,53656.66
2013,266225,51939.25
2012,244400,51017.21
2011,224900,50053.58
2010,222700,49276.21
2009,215650,49777.12
2008,229550,50302.65
2007,244950,50232.63
2006,243750,48200.88
2005,236550,46326.22
2004,218150,44333.75
2003,192125,43317.77
2002,186025,42409.23
2001,173100,42228.04
2000,167550,41989.89
1999,160125,40695.87
1998,151925,38884.82
1997,145000,37005.25
1996,140250,35492.29
1995,133475,34075.74
1994,130425,32264.17
1993,126500,31241.28
1992,121375,30636.15
1991,119975,30125.81
1990,122300,29943.02
1989,120425,28905.97
1988,112225,27224.93
1987,104700,26061.18
1986,92025,24896.81
1985,84275,23617.9
1984,79950,22414.97
1983,75375,20884.85
1982,69225,20170.97
1981,68950,19074.07
1980,64750,17709.98
1979,62750,16461.06
1978,55850,15064.05
1977,48900,13571.89
1976,44225,12685.91
1975,39275,11799.89
1974,36050,11196.92
1973,32600,10512.04
1972,27525,9696.94
