DATE,MSACSR,PERMIT,TLRESCONS,EVACANTUSQ176N
1/1/2003,4.2,1806.333333,421328.6667,14908
1/4/2003,3.833333333,1837.666667,429308.6667,15244
1/7/2003,3.633333333,1937.333333,458890,15614
1/10/2003,3.966666667,1972.333333,491437.3333,15654
1/1/2004,3.7,1994.666667,506856.3333,15895
1/4/2004,3.9,2080,526483.3333,16079
1/7/2004,4.3,2069.666667,552939,15656
1/10/2004,4.1,2086,561413.3333,15361
1/1/2005,4.266666667,2105,590790.3333,15748
1/4/2005,4.266666667,2137.666667,611957,16061
1/7/2005,4.466666667,2228.333333,642273.6667,15883
1/10/2005,4.8,2169.333333,670433,15823
1/1/2006,5.766666667,2157,680067.3333,16234
1/4/2006,6.266666667,1923.333333,639389,16513
1/7/2006,6.9,1713.333333,591320.6667,16769
1/10/2006,6.8,1581,558263.6667,16894
1/1/2007,7.666666667,1606.666667,539003.6667,17724
1/4/2007,7.8,1456.666667,521924,17547
1/7/2007,8.9,1314.333333,488432.3333,18049
1/10/2007,9.166666667,1188.333333,439296,17910
1/1/2008,9.833333333,1025,400027.3333,18642
1/4/2008,10.56666667,1061,388045.3333,18701
1/7/2008,10.9,858.6666667,360447.6667,18651
1/10/2008,11.4,638.6666667,319480,18973
1/1/2009,11.23333333,538.6666667,276721.3333,19137
1/4/2009,9.5,559.3333333,246953.3333,18752
1/7/2009,7.733333333,606.6666667,257975,18996
1/10/2009,7.666666667,623.3333333,263932.3333,19006
1/1/2010,7.833333333,657.6666667,263516.3333,19126
1/4/2010,7.933333333,599.6666667,262938.3333,19022
1/7/2010,8.433333333,574,251115.3333,18933
1/10/2010,7.8,583.3333333,248572.6667,18551
1/1/2011,7.533333333,567,250635,18998
1/4/2011,6.633333333,611.6666667,254937.3333,18843
1/7/2011,6.5,626,258663.3333,18803
1/10/2011,5.666666667,691.3333333,256598.6667,18389
1/1/2012,5,752,257335,18476
1/4/2012,4.8,774,270188,18519
1/7/2012,4.566666667,873,285750,18149
1/10/2012,4.666666667,915,302709.3333,17939
1/1/2013,4.1,952,314411.3333,18459
1/4/2013,4.366666667,985.6666667,327098.3333,18165
1/7/2013,5.466666667,988.3333333,340381,18177
1/10/2013,5.033333333,1026,358938.6667,18087
1/1/2014,5.333333333,1027.333333,372124,18453
1/4/2014,5.533333333,1039.333333,379708,18219
1/7/2014,5.666666667,1066.666667,381017.3333,18170
1/10/2014,5.366666667,1075,398399.6667,16956
1/1/2015,4.8,1082.666667,415744.6667,17502
1/4/2015,5.1,1272.333333,431303.6667,17379
1/7/2015,5.366666667,1149.666667,449032.3333,17510
1/10/2015,5.4,1205,455911.6667,17288
1/1/2016,5.533333333,1153.666667,469067,17758
1/4/2016,5.133333333,1191,477115.3333,17268
1/7/2016,4.9,1234,486843,17160
1/10/2016,5.266666667,1244,511281.6667,17328
1/1/2017,5.233333333,1268.666667,529871.3333,17384
1/4/2017,5.266666667,1265.666667,542516,17637
1/7/2017,5.733333333,1289,549521.6667,17684
1/10/2017,5.3,1322.333333,561319,16814
1/1/2018,5.566666667,1341,579760,17258
1/4/2018,5.6,1344.666667,581159.3333,17060
1/7/2018,6.433333333,1315.333333,560109.6667,17221
1/10/2018,7.066666667,1311.333333,535932.3333,16382
1/1/2019,6.366666667,1282.333333,523016.6667,16814
1/4/2019,5.833333333,1312.333333,539253,17031
1/7/2019,5.6,1455.333333,565471.6667,17038
1/10/2019,5.533333333,1507,583015.3333,16113
1/1/2020,5.9,1429.333333,616682.3333,15967
1/4/2020,5.3,1210.666667,603744.6667,13876
1/7/2020,3.4,1577.666667,646601.6667,14249
1/10/2020,3.866666667,1698.333333,707944.3333,15446
1/1/2021,4.333333333,1765.666667,753515.6667,15602
1/4/2021,5.3,1679.333333,795501.3333,15658
1/7/2021,6.2,1697,819745,15206
1/10/2021,6.233333333,1816.666667,837069,14999
1/1/2022,6.233333333,1864,910611,15166
1/4/2022,8.7,1734.666667,947300.3333,15286
1/7/2022,9.566666667,1610.666667,910346,15306
1/10/2022,9.2,1455.333333,870620.6667,14554
1/1/2023,8.033333333,1424.333333,842559.6667,15053
1/4/2023,.,.,.,.
